id,title,slug
2,Wally Lamb,wally-lamb
3,Joyce Carol Oates,joyce-carol-oates
4,Bill McKibben,bill-mckibben
5,Harold Bloom,harold-bloom
6,Nikki Giovanni,nikki-giovanni
7,Paul Auster,paul-auster
8,Peter Straub,peter-straub
9,Phillip Lopate,phillip-lopate
10,Ann Charters,ann-charters
11,Walter Mosley,walter-mosley
12,David Remnick,david-remnick
13,Sapphire,sapphire
14,Lorrie Moore,lorrie-moore
15,Cristina Garcia,cristina-garcia
16,Ilan Stavans,ilan-stavans
17,Michael Chabon,michael-chabon
18,Edwidge Danticat,edwidge-danticat
19,Adam Gopnik,adam-gopnik
20,Honor Moore,honor-moore
21,Madeleine L'Engle,madeleine-l-engle
22,Larry McMurtry,larry-mcmurtry
23,Stewart O'Nan,stewart-o-nan
24,Barbara Kingsolver,barbara-kingsolver
25,Caroline Kennedy,caroline-kennedy
26,Richard Wright,richard-wright
27,Carmela Ciuraru,carmela-ciuraru
28,Tony Hillerman,tony-hillerman
29,Sue Miller,sue-miller
30,Jay Atkinson,jay-atkinson
31,E. Lynn Harris,e-lynn-harris
32,Laura Furman,laura-furman
33,Barbara Smith,barbara-smith
34,Mark Twain,mark-twain
35,Susan Wittig Albert,susan-wittig-albert
36,Billy Collins,billy-collins
37,Thomas Wolfe,thomas-wolfe
38,Diane Fanning,diane-fanning
39,Salman Rushdie,salman-rushdie
40,Oscar Wilde,oscar-wilde
41,J. R. R. Tolkien,j-r-r-tolkien
42,Maeve Binchy,maeve-binchy
43,Virginia Woolf,virginia-woolf
44,John Carey,john-carey
45,John Updike,john-updike
46,Christopher Hitchens,christopher-hitchens
47,Jack Canfield,jack-canfield
48,Otto Penzler,otto-penzler
49,Marlo Thomas,marlo-thomas
50,Cathi Hanauer,cathi-hanauer
51,Victor Hugo,victor-hugo
